Status da tarefa de depósito;Data da confirmação;Hora da confirmação;Atividade;Tipo proc.depósito;Código de exceção;Fila;Itinerário;Confirmado por;Produto;Descrição breve do produto;Lote;PD origem;Tp.depósito origem;Tarefa depós.p/UC;Qtd.prev.origem UMB;PD destino;Área de atividade;UC de origem;Tipo depós.destino;UC de destino;Qtd.real destino UMB;Qtd.dif.destino UMB;Autor;Data de criação;Hora da criação
C;17/02/2025;08:55:09;INTL;AUTO;;T-MAN;;JOSILVA;400003096;CICLOPIROX OLAMINA G.MDY SOL 15ML;ERA05470;;;X;1;AVARIAS;SEG0;50001890628;AVA0;50001890628;1;0;JOSILVA;17/02/2025;08:55:07
C;17/02/2025;08:59:22;INTL;AUTO;;T-MAN;;JOSILVA;400015854;CR PENTEAR KIDS CACHINHOS BRILH 1KG SLN;368492;;;X;2;AVARIAS;PR30;50001886378;AVA0;50001886378;2;0;JOSILVA;17/02/2025;08:59:21
C;17/02/2025;09:01:21;INTL;P340;SPLT;T-MAN;;JOSILVA;400016774;DIPIMED 1G 10CP REV DIPIRONA MONO MED;OA3422;227.38.1;PR30;;1;AVARIAS;PR30;1911644;AVA0;50001890629;1;0;JOSILVA;17/02/2025;09:01:21
C;17/02/2025;09:19:16;INTL;P340;SPLT;T-MAN;;JOSILVA;400001288;DESLORATADINA G.EUR 0,5MG/ML XPE 60ML;931560;231.01.2;FW10;;7;AVARIAS;FW10;1716704;AVA0;50001890653;7;0;JOSILVA;17/02/2025;09:19:16
C;17/02/2025;09:20:08;INTL;P340;;T-MAN;;JOSILVA;400001288;DESLORATADINA G.EUR 0,5MG/ML XPE 60ML;929216;AVARIAS;AVA0;;7;AVARIAS;AVA0;50001890653;AVA0;50001888398;7;0;JOSILVA;17/02/2025;09:20:08
C;17/02/2025;09:27:02;INTL;P340;SPLT;T-MAN;;JOSILVA;400006211;ACETILCISTEINA G.EMS20MG/ML XPE INF120ML;4G3281;236.07.3;FW10;;1;AVARIAS;FW10;1704478;AVA0;50001890654;1;0;JOSILVA;17/02/2025;09:27:02
C;17/02/2025;09:29:02;INTL;P340;SPLT;T-MAN;;JOSILVA;400003874;NISTATINA+OX ZINCO G.NEO POM 60 G;B24J2262;232.08.4;FW10;;1;AVARIAS;FW10;1723248;AVA0;50001890655;1;0;JOSILVA;17/02/2025;09:29:02
C;17/02/2025;09:32:02;INTL;P340;SPLT;T-MAN;;JOSILVA;400016800;MULTIPIRAL 50MG/ML 100ML SOL ORAL MUL;4H9885;243.14.4;PR30;;6;AVARIAS;PR30;1901955;AVA0;50001890656;6;0;JOSILVA;17/02/2025;09:32:02
C;17/02/2025;09:34:30;INTL;P340;SPLT;T-MAN;;JOSILVA;400015747;DELTAMETRIL 4% 100 ML DIMETICONA MED;OA0764;220.11.5;PR10;;2;AVARIAS;PR10;1911582;AVA0;50001890657;2;0;JOSILVA;17/02/2025;09:34:30
C;17/02/2025;09:36:02;INTL;P340;SPLT;T-MAN;;JOSILVA;400010372;MALEATO BRO+CLOR FENI G.NEO 2/5MG 120 ML;B24G1166;228.05.1;FW10;;1;AVARIAS;FW10;1694214;AVA0;50001890658;1;0;JOSILVA;17/02/2025;09:36:02
