Status da tarefa de depósito;Data da confirmação;Hora da confirmação;Atividade;Tipo proc.depósito;Código de exceção;Fila;Itinerário;Confirmado por;Produto;Descrição breve do produto;Lote;PD origem;Tp.depósito origem;Tarefa depós.p/UC;Qtd.prev.origem UMB;PD destino;Área de atividade;UC de origem;Tipo depós.destino;UC de destino;Qtd.real destino UMB;Qtd.dif.destino UMB;Autor;Data de criação;Hora da criação
C;17/02/2025;09:05:31;INTL;P340;;T-MAN;;DTEIXEIRA;400005068;HEPATOVIT ABACAXI 60 FLC 10ML VIT.;3229013/24;224.23.4;FW10;;2;DIV MEDICAMENTO;FW10;10004116952;SEG0;60004472466;2;0;DTEIXEIRA;17/02/2025;09:05:31
C;17/02/2025;09:06:27;INTL;P340;;T-MAN;;DTEIXEIRA;400005068;HEPATOVIT ABACAXI 60 FLC 10ML VIT.;3229013/24;224.23.4;FW10;;2;DIV MEDICAMENTO;FW10;10004116951;SEG0;60004472467;2;0;DTEIXEIRA;17/02/2025;09:06:27
C;17/02/2025;09:38:03;INTL;AUTO;;T-MAN;;MLSILVA;400003109;CLONAZEPAM G.MDY GTS 20ML(B1);ERA06471;;;X;1;DIV CONTROLADO;PR50;10003945577;SEG0;10003945577;1;0;MLSILVA;17/02/2025;09:38:00
C;17/02/2025;09:40:42;INTL;AUTO;;T-MAN;;MLSILVA;400003136;ESCITALOPRAM G.MDY 10MG 30CP(C1);EKP05540;;;X;1;DIV CONTROLADO;PR50;5411639;SEG0;5411639;1;0;MLSILVA;17/02/2025;09:40:38
C;17/02/2025;10:54:27;INTL;P340;;T-MAN;;DTEIXEIRA;400015747;DELTAMETRIL 4% 100 ML DIMETICONA MED;OA0764;225.04.3;FW10;;4;DIV MEDICAMENTO;FW10;10003791231;SEG0;60004473074;4;0;DTEIXEIRA;17/02/2025;10:54:27
C;17/02/2025;11:05:59;INTL;P340;;T-MAN;;DTEIXEIRA;400004794;DIMEZIN MAX 125MG 10CA SIMETICONA TEU.;3680066;225.31.7;FW10;;1;DIV MEDICAMENTO;FW10;5413350;SEG0;60004473226;1;0;DTEIXEIRA;17/02/2025;11:05:59
C;17/02/2025;11:10:46;INTL;P340;;T-MAN;;DTEIXEIRA;400001696;HYSTIN 2MG 20CP DEXCLORFENIRAMINA GEO.;2410254;223.05.6;FW10;;3;DIV MEDICAMENTO;FW10;5412534;SEG0;60004473228;3;0;DTEIXEIRA;17/02/2025;11:10:46
C;17/02/2025;11:40:22;INTL;P340;;T-MAN;;DTEIXEIRA;400008041;EXPEC PULMON PLUS XPE 120ML VIT+MIN PVT.;0004023;222.06.1;FW10;;1;DIV MEDICAMENTO;FW10;10003635325;SEG0;60004473427;1;0;DTEIXEIRA;17/02/2025;11:40:22
C;17/02/2025;11:55:23;INTL;AUTO;;T-MAN;;EMENDONCA;400003939;TORSILAX 20X10CP PARACETAMOL+ASSOC NEO.;B23L1594;INFLAMΜVEIS;DEV0;X;5;DIV MEDICAMENTO;DEV0;10004240574;SEG0;10004240574;5;0;EMENDONCA;17/02/2025;11:55:23
C;17/02/2025;11:59:53;INTL;P340;;T-MAN;;DTEIXEIRA;400005313;BENZODERM SAB 60G BENZOATO BENZILA PHA.;74-013/24;221.02.5;FW10;;1;DIV MEDICAMENTO;FW10;5401885;SEG0;60004473620;1;0;DTEIXEIRA;17/02/2025;11:59:53
C;17/02/2025;11:57:12;INTL;AUTO;;T-MAN;;EMENDONCA;400003688;ANLODIPINO G.NEO 10MG 30CP;B24G0365;MEDICAMENTOS;DEV0;X;2;DIV MEDICAMENTO;DEV0;10004250761;SEG0;10004250761;2;0;EMENDONCA;17/02/2025;11:57:12
